Fiscal Year,Agency Name,Title Description,Base Salary,Pay Basis,Regular Hours,Regular Gross Paid,Total Other Pay
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$38324.00, per Annum,1070,$24196.37,$505.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$63000.00, per Annum,1488,$48775.77,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$43299.00, per Annum,305,$4968.75,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSISTANT                                         ,$39375.00, per Annum,1830,$38952.32,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$56626.00, per Annum,1816,$55249.72,$8.75
2016,DISTRICT ATTORNEY-MANHATTAN   ,INTERPRETER                                                 ,$66693.00, per Annum,1830,$65972.59,$1785.73
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$80500.00, per Annum,1830,$80204.21,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,OFFICE ASSISTANT                                            ,$43649.00, per Annum,1830,$43175.92,$795.70
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$41296.00, per Annum,864.85,$16849.29,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$153500.00, per Annum,1830,$152308.02,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$39078.00, per Annum,1810,$36466.10,$994.57
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$91000.00, per Annum,1831,$90145.83,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$56742.00, per Annum,1830,$56132.70,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,1828.75,$35707.28,$49.50
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$176000.00, per Annum,1831,$174932.13,$750.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$44819.00, per Annum,1830,$44337.80,$298.78
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$31595.00, per Annum,199.53,$1812.83,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$73248.00, per Annum,1830,$72461.42,$2204.25
